Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,CompletedRoutes,RouteDoors,OverallTime,Neighbourhood,ID,Latitude,Longitude
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,25,60,No,1,249,60,Connors Hill,352,,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,0,19,60,Yes,2,280,63,Connors Hill,388,,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,2,30,30,No,1,300,30,Connors Hill,410,,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,3,40,180,Yes,2,375,60,Connors Hill,439,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,1,25,55,No,1,20,55,Coronation Park,25,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,72,45,Yes,3,63,81,Coronation Park,52,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,20,60,No,1,96,60,Coronation Park,73,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,1,1,15,60,No,1,100,60.10972569,Coronation Park,77,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,18,63,No,1,140,63,Coronation Park,140,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,3,0,18,45,No,1,143,45,Coronation Park,147,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,35,75,Yes,2,144,74,Coronation Park,148,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,44,60,Yes,2,266,60,Coronation Park,371,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,1,1,38,90,Yes,2,300,60.10972569,Coronation Park,414,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,5,32,No,1,302,39,Coronation Park,416,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,3,1,117,45,Yes,4,403,90,Coronation Park,450,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,1,55,110,Yes,2,180,98,Coronation Park,484,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,4,0,37,45,Yes,2,180,100,Coronation Park,486,,
Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,37,57,No,1,180,57,Coronation Park,487,,
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,30,60,Yes,2,23,75,Crawford Plains,28,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,25,35,No,1,26,35,Crawford Plains,34,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,25,40,No,1,60,38,Crawford Plains,50,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,12,60,No,1,92,60,Crawford Plains,70,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,20,20,No,1,100,20,Crawford Plains,76,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,12,25,No,1,110,25,Crawford Plains,98,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,17,40,Yes,1,113,50,Crawford Plains,103,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,1,16,30,No,1,114,21,Crawford Plains,104,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,13,15,No,1,115,30,Crawford Plains,105,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15,40,No,1,115,40,Crawford Plains,107,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,15,25,No,1,116,25,Crawford Plains,110,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,28,30,No,1,123,30,Crawford Plains,120,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,24,60,No,1,128,60,Crawford Plains,124,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,35,70,No,1,134,67,Crawford Plains,128,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,0,16,30,No,1,135,30,Crawford Plains,129,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,5,17,No,1,135,17,Crawford Plains,133,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,6,19,Yes,2,136,18,Crawford Plains,135,53.44341912,-113.4026104
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,2,9,20,No,1,138,20,Crawford Plains,138,53.44341912,-113.4026104
